id,name,price,url,rating,review_count,brand_name,suitable_type,ingredients,sentiment,first_sentence
56,Smooth Conditioner,$32.00,https://credobeauty.com/products/smooth-conditioner,4.6,107,Arey,"['damaged hair', 'all hair']","['repair', 'anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance']",,
57,Wait A Sec,$36.00,https://credobeauty.com/products/wait-a-sec,No rating,No reviews,Arey,"['damaged hair', 'all hair']","['moisture', 'fragrance', 'anti-aging', 'antioxidants']",,
58,Wash Shampoo,$48.00,https://credobeauty.com/products/wash-shampoo,No rating,179,Arey,['all hair'],"['repair', 'anti-aging', 'moisture', 'fragrance']",,
59,Atmosphäre Scented Candle,$60.00,https://credobeauty.com/products/atmosphare-scented-candle,4.7,3,Atmo Home,[],['fragrance'],100% positive,Love this candle.
60,Atmosphäre Scented Candle Refill,$28.00,https://credobeauty.com/products/atmosphare-scented-candle-refill,4,1,Atmo Home,[],['fragrance'],100% positive,"Great candle,."
61,Santal Scented Candle,$60.00,https://credobeauty.com/products/santal-scented-candle,No rating,No reviews,Atmo Home,[],['fragrance'],,
62,Santal Scented Candle Refill,$28.00,https://credobeauty.com/products/santal-scented-candle-refill,5,1,Atmo Home,[],['fragrance'],,
63,Vetiver Smoke Scented Candle,$60.00,https://credobeauty.com/products/vetiver-smoke-scented-candle,No rating,No reviews,Atmo Home,[],['fragrance'],,
64,Vetiver Smoke Scented Candle Refill,$28.00,https://credobeauty.com/products/vetiver-smoke-scented-candle-refill,4,1,Atmo Home,[],['fragrance'],,
65,Shape Stick,$24.00,https://credobeauty.com/products/shape-stick,No rating,No reviews,Axiology,['all skin'],"['antioxidants', 'sun protection']",,
66,Axiology Multi Stick,$24.00,https://credobeauty.com/products/axiology-multi-stick,4.8,66,Axiology,['aging skin'],"['antioxidants', 'sun protection']",100% positive,"Humble is the perfect creamy, neutral pink for a nomakeup makeup look."
67,Nude Plum + Rose Balmie Duo,$26.00,https://credobeauty.com/products/nude-plum-rose-balmie-duo,4.6,11,Axiology,['all skin'],"['moisture', 'antioxidants', 'sun protection']",,
68,Strawberry + Cherry Balmie Duo,$26.00,https://credobeauty.com/products/strawberry-cherry-balmie-duo,4.5,21,Axiology,['all skin'],"['moisture', 'antioxidants', 'sun protection']",,
69,Cinnamon + Champagne Balmie Duo,$26.00,https://credobeauty.com/products/cinnamon-champagne-balmie-duo,4.6,No reviews,Axiology,['all skin'],"['moisture', 'antioxidants', 'sun protection']",80% positive,The champagne is super subtle but lovely and cinnamon is more pigmented.
70,Golden Hour Lip-to-Lid Trio,$38.00,https://credobeauty.com/products/golden-hour-lip-to-lid-trio,4.9,9,Axiology,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'antioxidants', 'sun protection']",100% positive,I have never used blush so this was a game changer.
71,Super Fan Pack,$98.00,https://credobeauty.com/products/super-fan-pack,4.9,55,Axiology,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'antioxidants', 'sun protection']",,
72,Cotton Candy Skies Lip-to-Lid Trio,$38.00,https://credobeauty.com/products/cotton-candy-skies-lip-to-lid-trio,4.3,26,Axiology,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'antioxidants', 'sun protection']",60% positive,The colors on these are so lovely.
73,Of the Earth Lip-to-Lid Trio,$38.00,https://credobeauty.com/products/of-the-earth-lip-to-lid-trio,4.7,67,Axiology,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'antioxidants', 'sun protection']",,
74,Lip-to-Lid Balmie Highlighter,$15.00,https://credobeauty.com/products/lip-to-lid-shimmer,4.1,78,Axiology,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'antioxidants', 'sun protection']",20% positive,The Pearl white finish was exactly Didnt work for what d wanted This is probably a.
75,Lip-to-Lid Balmie,$15.00,https://credobeauty.com/products/lip-to-lid-balmie,No rating,152,Axiology,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'antioxidants', 'sun protection']",80% positive,"The color is beautiful, the application is so simple, and its ecofriendly yet attractive."
76,14 Juillet,From $45,https://credobeauty.com/products/14-juillet,No rating,No reviews,Bastille,['all skin'],"['alcohol', 'fragrance']",,
77,Bataille,From $45,https://credobeauty.com/products/bataille,No rating,No reviews,Bastille,['all skin'],"['alcohol', 'fragrance']",,
78,Demain Promis,From $45,https://credobeauty.com/products/demain-promis,No rating,No reviews,Bastille,['all skin'],"['alcohol', 'fragrance']",,
79,Hors-Piste,From $45,https://credobeauty.com/products/hors-piste,No rating,No reviews,Bastille,[],"['alcohol', 'fragrance']",,
80,Paradis Nuit,From $45,https://credobeauty.com/products/paradis-nuit,No rating,No reviews,Bastille,['all skin'],"['alcohol', 'fragrance']",,
81,Pleine Lune,From $45,https://credobeauty.com/products/pleine-lune,No rating,No reviews,Bastille,['all skin'],"['alcohol', 'fragrance']",,
82,Rayon Vert,From $45,https://credobeauty.com/products/rayon-vert,No rating,No reviews,Bastille,['all skin'],"['alcohol', 'fragrance']",,
83,Un Deux Trois Soleil,From $45,https://credobeauty.com/products/un-deux-trois-soleil,No rating,No reviews,Bastille,['all skin'],"['alcohol', 'fragrance', 'repair']",,
84,Break Water Mind and Body Wash,$36.00,https://credobeauty.com/products/break-water-mind-and-body-wash,5,2,Bathing Culture,"['sensitive skin', 'all skin']","['moisture', 'fragrance', 'sun protection']",100% positive,The smell is so invigorating.
85,Meadow Vision Mind and Body Wash,$36.00,https://credobeauty.com/products/meadow-vision-mind-and-body-wash,4.9,34,Bathing Culture,"['sensitive skin', 'all skin']","['moisture', 'sun protection']",,
86,Good Seed Conditioner,$30.00,https://credobeauty.com/products/good-seed-conditioner,No rating,12,Bathing Culture,['all hair'],"['moisture', 'alcohol', 'exfoliating']",80% positive,"This conditioner smells distractingly funky to me, not pleasant like the shampoo."
87,Kelp Forest Shampoo,$28.00,https://credobeauty.com/products/kelp-forest-shampoo,4,25,Bathing Culture,['all hair'],[],40% positive,Very drying I found this shampoo very drying.
88,Big Dipper Mineral Bath,$25.00,https://credobeauty.com/products/big-dipper-mineral-bath,4.5,24,Bathing Culture,['all skin'],['fragrance'],,
89,Cathedral Grove Mind and Body Wash,From $10,https://credobeauty.com/products/mind-and-body-wash-refillable-glass,4.7,399,Bathing Culture,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'fragrance', 'sun protection']",,
90,Outer Being Face & Body Oil,$32.00,https://credobeauty.com/products/outer-being-face-body-oil,No rating,48,Bathing Culture,"['dry skin', 'all skin']","['moisture', 'fragrance']",,
91,Beauty Sleep Elixir,$70.00,https://credobeauty.com/products/beauty-sleep-elixir,No rating,453,Beuti Skincare,"['dry skin', 'oily skin', 'sensitive skin', 'all skin']",['fragrance'],100% positive,"The light fragrance is very nice, and the hydration from using this is over the."
92,Tulipscreen Hydrating Lip Oil SPF 40+,$29.00,https://credobeauty.com/products/tulipscreen-hydrating-lip-oil-spf-40,4.2,No reviews,Bloomeffects,['all skin'],"['antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance']",,
93,Tulip Dew Shield & Glow 100% Sheer Mineral Sunstick SPF 50,$32.00,https://credobeauty.com/products/tulip-dew-shield-glow-100-sheer-mineral-sunstick-spf-50,No rating,No reviews,Bloomeffects,['all skin'],"['antioxidants', 'sun protection']",,
94,Royal Tulip Vitamin C Facial Oil,$85.00,https://credobeauty.com/products/royal-tulip-vitamin-c-facial-oil,No rating,No reviews,Bloomeffects,"['sensitive skin', 'all skin']","['repair', 'anti-aging', 'antioxidants', 'moisture', 'exfoliating', 'brightening']",,
95,Royal Tulip Petal Polish,$49.00,https://credobeauty.com/products/royal-tulip-petal-polish,4.7,26,Bloomeffects,['all skin'],"['antioxidants', 'sun protection', 'brightening', 'moisture', 'exfoliating']",,
96,Tulip Dew Sunscreen Serum SPF50,$65.00,https://credobeauty.com/products/tulip-dew-vitamins-mineral-sunscreen-spf-50,No rating,No reviews,Bloomeffects,"['dry skin', 'all skin']","['repair', 'moisture', 'alcohol', 'fragrance', 'brightening', 'exfoliating', 'anti-aging', 'antioxidants', 'sun protection']",,
97,Tulip Nectar Cleansing Cream,$29.00,https://credobeauty.com/products/tulip-nectar-cleansing-cream,4.3,18,Bloomeffects,"['dry skin', 'all skin']","['repair', 'antioxidants', 'moisture', 'alcohol']",,
98,Black Tulip Overnight Retinoid Serum,$95.00,https://credobeauty.com/products/black-tulip-overnight-retinoid-serum,4.5,22,Bloomeffects,"['sensitive skin', 'aging skin', 'all skin']","['repair', 'anti-aging', 'antioxidants', 'sun protection', 'moisture', 'exfoliating']",40% positive,This is my favorite serum for nights.
99,Black Tulip Eye Treatment,$64.00,https://credobeauty.com/products/black-tulip-eye-treatment,No rating,No reviews,Bloomeffects,"['aging skin', 'all skin']","['anti-aging', 'antioxidants', 'sun protection', 'moisture', 'exfoliating']",40% positive,"Beautiful Stay away Its very goopy, hard to spread around the eye."
100,Tulip Dew Cream,$49.00,https://credobeauty.com/products/tulip-dew-cream,No rating,36,Bloomeffects,"['dry skin', 'all skin']","['repair', 'moisture', 'alcohol', 'brightening', 'exfoliating', 'anti-aging', 'antioxidants', 'sun protection']",,
101,Tulip Nectar Skin Repair Balm,$47.00,https://credobeauty.com/products/tulip-nectar-skin-repair-balm,No rating,36,Bloomeffects,"['dry skin', 'all skin']","['antioxidants', 'sun protection', 'moisture', 'alcohol']",,
102,Tulip Dew Drops,$55.00,https://credobeauty.com/products/tulip-dew-drops,4.8,97,Bloomeffects,"['dry skin', 'all skin']","['repair', 'anti-aging', 'antioxidants', 'brightening', 'moisture', 'alcohol', 'exfoliating']",,
103,Royal Tulip Nectar + Echinacea,$69.00,https://credobeauty.com/products/royal-tulip-nectar-echinacea,No rating,No reviews,Bloomeffects,"['dry skin', 'combination skin', 'sensitive skin', 'all skin']","['repair', 'anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'brightening']",,
104,Tulip Tint Lip & Cheek Balm,$23.00,https://credobeauty.com/products/tulip-tint-lip-cheek-balm,4.5,88,Bloomeffects,['all skin'],"['anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'exfoliating']",,
105,Royal Tulip Nectar,$65.00,https://credobeauty.com/products/royal-tulip-nectar,4.8,365,Bloomeffects,"['dry skin', 'sensitive skin', 'all skin']","['repair', 'anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'brightening']",,
106,Royal Tulip Cleansing Jelly,$29.00,https://credobeauty.com/products/royal-tulip-cleansing-jelly,No rating,No reviews,Bloomeffects,"['dry skin', 'sensitive skin', 'all skin']",['alcohol'],,
107,Dolce Far Niente,$58.00,https://credobeauty.com/products/dolce-far-niente,No rating,No reviews,Caftari,['all skin'],[],,
108,Elixir,$58.00,https://credobeauty.com/products/elixir,No rating,No reviews,Caftari,['all skin'],"['alcohol', 'fragrance']",,
109,Scent of Nirvana,$58.00,https://credobeauty.com/products/scent-of-nirvana,5,2,Caftari,['all skin'],"['alcohol', 'fragrance']",,
110,Refresh Powder Dry Shampoo,$28.00,https://credobeauty.com/products/refresh-powder-dry-shampoo,No rating,No reviews,Captain Blankenship,['all hair'],['fragrance'],,
111,Nourish Hair & Scalp Serum,$48.00,https://credobeauty.com/products/nourish-hair-scalp-serum,4.9,76,Captain Blankenship,"['damaged hair', 'dry hair', 'fine hair', 'curly hair', 'all hair']",['sun protection'],,
112,Captain Blankenship Refresh Dry Shampoo,$26.00,https://credobeauty.com/products/captain-blankenship-refresh-dry-shampoo,3.8,19,Captain Blankenship,"['damaged hair', 'dry hair', 'fine hair', 'curly hair', 'all hair']",['fragrance'],80% positive,The dry shampoo is excellent but the pump is terrible.
113,Captain Blankenship Cleanse Shampoo,$29.00,https://credobeauty.com/products/captain-blankenship-cleanse-shampoo,4.8,90,Captain Blankenship,"['damaged hair', 'dry hair', 'fine hair', 'curly hair', 'all hair']","['moisture', 'antioxidants']",60% positive,Reliable Repurchase Shampoo has been the single most difficult clean beauty swap for me.
114,Captain Blankenship Hydrate Conditioner,$29.00,https://credobeauty.com/products/captain-blankenship-hydrate-conditioner,4.7,43,Captain Blankenship,"['damaged hair', 'dry hair', 'fine hair', 'curly hair', 'all hair']","['antioxidants', 'sun protection', 'moisture', 'alcohol']",100% positive,I have to use over 4 pumps of product just to be able to condition my hair.
115,Texture Sea Salt Spray,$29.00,https://credobeauty.com/products/texture-sea-salt-spray,No rating,144,Captain Blankenship,"['damaged hair', 'dry hair', 'fine hair', 'curly hair', 'all hair']",['moisture'],,
116,Mascarilla de Guava,$34.00,https://credobeauty.com/products/mascarilla-de-guava,5,7,Ceremonia,['oily skin'],"['antioxidants', 'moisture', 'alcohol', 'fragrance']",,
117,Guava Shampoo for Color Treated Hair and Damage Repair,$22.00,https://credobeauty.com/products/guava-shampoo-for-color-treated-hair-and-damage-repair,4.2,19,Ceremonia,"['damaged hair', 'dry hair', 'all hair']","['repair', 'anti-aging', 'antioxidants', 'moisture', 'fragrance']",60% positive,"The smell is sort of nice though pretty sweet, but this shampoo leaves my hair feeling."
118,Guava Conditioner for Color Treated Hair and Damage Repair,$22.00,https://credobeauty.com/products/guava-conditioner-for-color-treated-hair-and-damage-repair,4.4,20,Ceremonia,"['damaged hair', 'dry hair', 'all hair']","['antioxidants', 'moisture', 'alcohol', 'fragrance']",100% positive,I own 6 different hair products.
119,Perfume de la Tierra Signature Fragrance,$69.00,https://credobeauty.com/products/perfume-de-la-tierra-signature-fragrance,4.5,23,Ceremonia,['all skin'],['fragrance'],,
